ticker,pb_ratio,surge_ratio,volatility,ma_slope,rsi,vol_spike,label
1459.T,1.441880544860971,2.929778553934991,0.003631091820326703,0.0010582010581953992,66.66666651111112,4.011851779793526,1
1459.T,1.544748184926967,1.5610947265745954,0.0033892906303772557,0.001322401481082664,66.66666651111112,0.16620040794278793,1
1459.T,1.206699899472159,-1.2066998994791769,0.004818059804414967,-0.0005817335660233425,42.85714277142856,0.012399517396843225,1
1459.T,1.168528899347792,0.0,0.004975445898731659,-0.0008728542333379857,44.444444375308635,2.887416645016007,1
1459.T,2.0169344085553527,-2.016934408567083,0.005765137879754237,-0.0017462165308397273,45.454545396694215,0.8377740856208968,1
1459.T,0.9971522066321714,1.0088834090690002,0.005830556711921041,-0.0020372526193130703,49.99999994166666,0.07195793941021411,1
1459.T,0.9971522066321716,-0.9971522066379708,0.00583055671192104,-0.001747233546873825,49.99999994166666,0.09283964749551746,1
1459.T,1.9506001467873098,-1.9506001467986538,0.005961193556366692,-0.0020390329158051575,46.15384610414201,0.11543815391683546,1
1459.T,1.9506001467873098,-1.9506001467986538,0.005961193556366692,-0.0017492711370161057,41.66666661805556,0.5753234348333937,1
1459.T,0.9479309047722118,0.0,0.006133308357326404,-0.0017497812773300274,54.54545447603306,0.13635917394022345,1
1459.T,1.89536089125319,-1.8953608912642128,0.006134929308173842,-0.0017502917152757355,39.999999943999995,0.15528406309522605,1
1459.T,0.924622553033865,-0.9246225530392422,0.006287919913524754,-0.0011675423234025074,45.454545396694215,0.3426229958018139,1
1459.T,1.8102553112355098,-0.9104207998079558,0.0064233509462735166,-0.0008761682242938149,41.66666661805556,2.236712697164031,1
1459.T,1.3793024606572892,0.0,0.004142879823637471,0.0020190366310814845,59.999999832,0.006867935903292972,0
1459.T,1.4442590617757942,0.0,0.00395655074718242,0.0017296050734983096,49.999999825,8.216126860285105e-06,0
1459.T,1.4530739764735465,-1.4530739764819098,0.003955149618481403,0.0008643042350856408,49.999999825,5.807903892496523,0
1459.T,1.5366580408085095,-1.5366580408173538,0.0037400155060306724,0.0005760368663560962,49.999999825,0.5835440575763428,0
1459.T,1.6490992761723693,0.0,0.00348500837438279,-0.0002878526194570818,33.33333317777779,3.8929374010504736,0
1459.T,3.111775915774729,-3.111775915792609,0.003693790964655486,-0.0011510791366839573,24.9999999125,0.44437277077107296,0
1459.T,3.2955994148757926,-3.295599414894729,0.003487756893636586,-0.0011514104778286543,24.9999999125,0.847229057720607,0
1459.T,3.6087049294176587,-3.6087049294383937,0.0031851452223463092,-0.0017271157167429814,24.9999999125,0.019650533197253812,0
1459.T,1.7709502539786621,-1.7709502539888549,0.003245220837167328,-0.0014396775122289681,49.999999825,0.14127149013765813,0
1459.T,1.7709502539786621,-1.7709502539888549,0.003245220837167328,-0.0008643042350858045,33.33333317777779,0.0005876797638937746,0
1459.T,1.8111541587465563,-3.601490453620287,0.0031915256808520793,-0.0008650519031092309,24.9999999125,0.09474992928553189,0
1459.T,1.6436040732092223,0.0,0.0034966601061793105,-0.0014417531718486636,39.999999888,1.9807462726332614,0
1459.T,1.7675412521023472,0.0,0.0032514797956605473,-0.0011537352177608013,39.999999888,0.33609237275902204,0
1459.T,2.5321426361658315,-1.273652583468249,0.004701456862072582,-0.002382370458592158,37.499999934375,0.057479716245304575,1
1459.T,2.5321426361658315,-2.5321426361808945,0.004701456862072582,-0.002086438151999451,37.499999934375,1.0119622306177345,1
1459.T,1.207721859796941,0.0,0.0049286014791720826,-0.001789442290475526,49.9999999125,0.8168036346868037,1
1459.T,1.2646522999953782,0.0,0.0047067321885351215,-0.0020883054892476493,49.9999999125,0.027136505247482613,1
1459.T,1.2646522999953782,0.0,0.0047067321885351215,-0.0020895522387934613,49.9999999125,0.12075691611772035,1
1459.T,1.3120237625758253,-1.3120237625836302,0.0045367925567413305,-0.0017921146953298642,42.85714277142856,0.3029655891198566,1
1459.T,2.5270225670016138,-2.5270225670166466,0.00471098261373812,-0.0020914251568443557,42.85714277142856,0.00791247130486164,1
1459.T,1.0831982697770892,0.0,0.005495189602151219,-0.0008973975471080365,49.999999929999994,0.03700364745393852,1
1459.T,1.0831982697770892,0.0,0.005495189602151219,-0.0005984440454781322,44.444444375308635,0.7281082240662985,1
1459.T,1.0526099069970603,1.0652919540756682,0.005654877329358291,0.0,55.555555469135804,1.8383310432237607,1
1459.T,1.0831982697770894,0.0,0.005495189602151218,0.0,49.9999999125,0.25630893422815015,1
1459.T,1.021591019032973,0.0,0.0058265781705764816,0.0,55.555555469135804,0.40793252438487476,1
1459.T,1.0857180989778363,-1.0857180989841957,0.005386252781571573,-0.0014654161781860176,49.999999929999994,1.424820424098039,0
1459.T,2.1091557318002834,-2.109155731812617,0.005545301443218371,-0.001173020527852291,39.999999943999995,0.0030007951538106575,0
1459.T,1.0230385394216748,0.0,0.005716257958969354,-0.0008800234672871649,45.454545396694215,0.4685995421614488,0
1459.T,1.0541898658541735,0.0,0.005547342420534286,-0.0005870267097118127,45.454545396694215,0.28938435893066927,0
1459.T,1.0849171286545596,-1.084917128660914,0.005390229333622168,-0.0005870267097118127,45.454545396694215,0.43266896522054277,0
1459.T,1.1223068407734533,0.0,0.005210653523240607,-0.0005871990604781887,45.454545396694215,0.003212969132546536,0
1459.T,1.1595793024694583,-1.1595793024762504,0.005043166986774322,-0.0005871990604781887,49.999999929999994,0.24724608572703313,0
1459.T,1.2056017078308379,1.2198691836702953,0.004850650071871754,-0.0005873715124781612,49.999999929999994,0.0011242389234775363,0
1459.T,1.205601707830838,0.0,0.004850650071871753,-0.0008810572687173253,44.444444375308635,0.38937482097899756,0
1459.T,2.335247530653623,0.0,0.005008421567267,-0.0011750881316029,44.444444375308635,0.054670110586054435,0
1459.T,1.121421939846755,0.0,0.005214765189735156,-0.0014688601645037084,44.444444375308635,0.01704992061322438,0
1459.T,1.1214219398467553,1.1346932054137133,0.005214765189735155,-0.0014692918013431131,57.14285702857143,0.0038304212359162246,0
