Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Mid,BB_Lower,ATR,ADX,SMA_20,SMA_50,SMA_200,kairi_20,kairi_200,vol_ratio,return_lag_1,rsi_lag_1,return_lag_2,rsi_lag_2,return_lag_3,rsi_lag_3,target_return,ticker
2025-09-11,16526.958984375,16601.628979786332,16059.027013130648,16213.345003647402,5962600,58.149782146603684,-3.8690009826332243,-134.12185286416965,17059.38720639161,15866.87705078125,14674.36689517089,459.7538691645589,13.289885171768177,15866.87705078125,16387.774921875,15012.504223632812,4.160125092550904,10.087955601425392,1.1404908092806183,0.027545590352164195,57.46269071856178,0.02532423210672441,50.5249377616066,0.03749996168443803,44.48716997487748,0.14472608651688956,6920.T
2025-09-12,16611.5859375,16686.25593721906,16118.76393935421,16586.695937593646,8191000,59.94195588098611,59.600725302663704,-95.37733723080298,16872.055121551242,15831.03544921875,14790.01577688626,458.33158432664067,13.87861836884075,15831.03544921875,16345.9597265625,15010.613706054688,4.930508119857491,10.665601439064032,1.433662271105868,0.00512053991330208,58.149782146603684,0.03280717856030013,57.46269071856178,0.03057444576130286,50.5249377616066,0.23925520524921973,6920.T
2025-09-16,16840.57421875,16855.508218943985,16457.26821377106,16760.926217715416,6273400,69.1265156346785,126.91537972501828,-50.91879383963874,16893.832612403454,15835.515625,14777.198637596548,459.3982987895956,14.678590699262664,15835.515625,16306.6335546875,15009.721577148437,6.346863705298511,12.197778834145367,1.05033870551874,0.013784853662471175,59.94195588098611,0.01897597946915086,58.149782146603684,0.0470442743783035,57.46269071856178,0.24078194340833242,6920.T
2025-09-17,16646.431640625,16835.595636541195,16472.2016443864,16676.29963998019,5494200,63.19758150512468,162.7212949949535,-8.190776072720297,16945.483146181246,15849.951806640625,14754.420467100004,455.1314822335362,15.42142214893455,15849.951806640625,16268.103828125,15008.542622070312,5.025124642023671,10.913045055728098,0.9106791224382902,-0.011528263561752294,69.1265156346785,0.0020976746745375863,59.94195588098611,0.007228955814736038,58.149782146603684,0.2528417056270771,6920.T
2025-09-18,16979.95703125,17358.285009665422,16770.88104317832,16820.661040338244,6862500,65.48797528881425,215.52600284894834,36.55257971161343,17098.924538422274,15895.002685546875,14691.080832671478,465.7985815630296,16.85671914288362,15895.002685546875,16236.6428515625,15009.031293945312,6.825757548878308,13.131598560259938,1.0466329303891873,0.02003584899306854,63.19758150512468,0.008276606883440785,69.1265156346785,0.022175552360621742,59.94195588098611,0.1456969357623553,6920.T
2025-09-19,19100.5859375,19548.60593603401,18080.095940839197,18383.75393984558,27322100,82.92909623216713,423.60805419781536,113.96367460885384,17931.544362429333,16070.72607421875,14209.907786008169,606.9605028879213,19.967452707534417,16070.72607421875,16245.0058984375,15018.193579101562,18.853285466310467,27.182978677803547,2.523133098893305,0.12489012206256955,65.48797528881425,0.1474282506820097,63.19758150512468,0.1342003953899471,69.1265156346785,0.05180136101536805,6920.T
2025-09-22,21101.7421875,21594.56419187898,19200.146170603326,19274.816171266808,30102000,91.95155914900599,741.4442562039294,239.45979092786894,19244.73188014031,16327.093115234375,13409.454350328439,741.3665235968107,23.646988817867967,16327.093115234375,16292.396484375,15042.100004882812,29.243718024799705,40.28454923614502,1.978983409200281,0.10476936448693697,82.92909623216713,0.24274414526869803,65.48797528881425,0.26764357930032157,63.19758150512468,-0.04289814250395727,6920.T
2025-09-24,21425.3125,22211.83651835502,20952.402488963755,21196.32449465613,25404400,92.81313713424449,1007.8235931750605,393.1325513773073,20294.221408545072,16601.878759765626,12909.536110986182,810.702954288818,27.233400585143762,16601.878759765626,16347.85140625,15066.549604492187,29.053541530033833,42.20450642270415,1.334472165840908,0.015333819815677163,91.95155914900599,0.12170969885985983,82.92909623216713,0.2618001600692361,65.48797528881425,-0.0822912796138624,6920.T
2025-09-25,21435.267578125,21639.365574108077,21091.785584885187,21325.751580280423,11521300,96.38041261753739,1205.8343210436105,555.672905310568,21133.794173784656,16894.834033203126,12655.873892621597,827.7703464744143,30.5636400833094,16894.834033203126,16392.9520703125,15092.709833984374,26.874685693855515,42.02398253134794,0.5691650125528221,0.00046464097664844495,92.81313713424449,0.01580558551334077,91.95155914900599,0.12223089114985419,82.92909623216713,-0.05587509924177221,6920.T
2025-09-26,19643.1875,21196.323460466294,19618.297500633555,21166.45546122656,17125100,76.9841238948183,1204.2712745825738,685.3925791649692,21462.886831003823,17088.229296875,12713.571762746178,942.9754950271375,31.328719190011487,17088.229296875,16414.0587890625,15110.617978515626,14.951567881829831,29.99592424299795,0.7681146159359641,-0.08360427839743156,96.38041261753739,-0.08317848339434952,92.81313713424449,-0.06912010745558261,91.95155914900599,0.01409180774091239,6920.T
2025-09-29,20116.09765625,20250.50365395323,19454.02366756372,19503.803666713065,11258500,76.45011255054357,1227.047803072277,793.7236239464307,21835.770147255207,17299.54541015625,12763.320673057295,947.5979030651766,31.81709217818485,17299.54541015625,16436.65890625,15131.550141601563,16.281076637078584,32.94142019821413,0.5899982496832136,0.024075021238279204,76.9841238948183,-0.06154203193718155,96.38041261753739,-0.06110598591035721,92.81313713424449,0.059561463604350745,6920.T
2025-09-30,20215.658203125,20479.49220577598,19976.714200724113,20305.262204025334,8316300,75.73221708246768,1238.8513627158063,882.7491717003059,22170.409609754992,17531.022412109374,12891.635214463759,945.1089394629244,32.41181704950653,17531.022412109374,16480.0670703125,15149.560678710937,15.313629336080492,33.44055733268387,0.564769591011822,0.004949297253191043,76.45011255054357,0.029143472927955383,76.9841238948183,-0.056897324493612955,96.38041261753739,0.0031960143664839452,6920.T
2025-10-01,19732.791015625,20419.754981355636,19732.791015625,20305.2609870672,8858100,70.9584198302042,1195.4618818072777,945.2917137217003,22362.788451334374,17755.779052734375,13148.769654134376,970.7100803499809,32.609846799266045,17755.779052734375,16531.0417578125,15167.550483398438,11.134470399856466,30.098733063215597,0.7759467968247683,-0.02388580092956638,75.73221708246768,-0.019054721605306413,76.45011255054357,0.004561556805635636,76.9841238948183,0.010539629917697288,6920.T
2025-10-02,20270.416015625,21071.874016242786,20116.098015506046,20608.920015885928,9305400,72.94052551074196,1190.7312414167536,994.3796192607109,22581.872784034324,18009.408154296874,13436.943524559425,1042.8911518682762,33.221787070926794,18009.408154296874,16588.487890625,15190.084672851563,12.55459281036213,33.44504953190448,0.8480517066022157,0.027245258897957925,70.9584198302042,0.002708683138080259,75.73221708246768,0.007671386469286334,76.45011255054357,-0.008880225745296507,6920.T
2025-10-03,19921.955078125,20320.195059696714,19822.39508273207,20210.679064764492,6864200,68.7982246868668,1145.65785872997,1024.6352671545628,22665.578470581706,18259.054833984374,13852.531197387041,1039.6910097474877,33.35720696348958,18259.054833984374,16648.4230078125,15212.732817382812,9.107263542719535,30.95579418420602,0.7694860153578835,-0.01719061598101379,72.94052551074196,0.009586280133925928,70.9584198302042,-0.014528496774574351,75.73221708246768,0.010687348983641107,6920.T
2025-10-06,21350.642578125,21599.542584864623,20539.228556153823,20907.60056612847,11992500,72.84068040902375,1211.2573981208952,1061.9596933478292,22896.773176997598,18581.38037109375,14265.987565189902,1118.9835460956858,34.259665449843936,18581.38037109375,16732.65078125,15242.548818359375,14.903425642904722,40.07265341613036,1.322609817696558,0.07171422154087415,68.7982246868668,0.053290793916974,72.94052551074196,0.08198797429207749,70.9584198302042,-0.07980966283002419,6920.T
2025-10-07,20280.37109375,22062.49501411389,20160.899099088732,21848.441023679123,12384900,65.33509360168749,1163.4717632990141,1082.2621073380662,22951.326225723133,18816.5908203125,14681.855414901867,1226.3661110851313,34.825358633829474,18816.5908203125,16800.550703125,15266.647099609376,7.779200214405213,32.84102895303651,1.2534029887602698,-0.050128303186132483,72.84068040902375,0.017991006114583374,68.7982246868668,0.0004911136563416907,72.94052551074196,0.03710381270672148,6920.T
2025-10-08,19941.8671875,20384.90916944895,19747.72519541001,19911.999188716924,7347500,64.50480973971881,1085.7707775320268,1082.9638413768585,22946.387567974005,19017.20419921875,15088.020830463498,1245.5669253476556,34.81105400239658,19017.20419921875,16871.83564453125,15290.1275390625,4.86224462121112,30.423157926926734,0.7670504964035536,-0.016691208690669423,65.33509360168749,-0.065982809907013,72.84068040902375,0.0009995057863003698,68.7982246868668,0.045623267196923584,6920.T
2025-10-09,20091.20703125,20285.34902188894,19847.285043011336,20260.459023089075,6757500,63.919812873789446,1024.4336306059631,1071.2577992226793,22923.465664941286,19215.8263671875,15508.187069433714,1226.0105403360255,34.797771130348444,19215.8263671875,16951.18494140625,15314.525649414063,4.555519223244442,31.19052781121363,0.7450944503005738,0.00748875931956916,64.50480973971881,-0.009327445815737412,65.33509360168749,-0.058988179970066446,72.84068040902375,0.01670800158712824,6920.T
2025-10-10,20136.009765625,20215.657764697928,19598.385771882724,19911.999768232385,7135500,55.68927256863102,968.2770113336192,1050.6616416448674,22837.055284684895,19418.43095703125,15999.806629377606,1086.6264751953966,34.441257489581375,19418.43095703125,17058.21193359375,15340.271298828126,3.695349074194487,31.262409727807295,0.7820943094706244,0.0022299672839622975,63.919812873789446,0.009735426291811455,64.50480973971881,-0.007118278430787162,65.33509360168749,0.07200437775467455,6920.T
2025-10-14,19712.87890625,21171.432825323547,19683.0109079072,20210.678878630053,13898300,40.767704349592684,879.4911355281256,1016.427540421519,22714.329155422816,19577.726953125,16441.12475082718,1014.8010225552085,34.75664412749216,19577.726953125,17154.7851171875,15364.096689453125,0.6903352643981453,28.304834997440164,1.4622493618973271,-0.021013639956479535,55.68927256863102,-0.018830532402137168,63.919812873789446,-0.01148279040758704,64.50480973971881,0.07490134085885027,6920.T
2025-10-15,21046.984375,21221.214378104305,19498.826347416038,19697.94635096381,12859000,47.78296537643887,906.3312287941517,994.4082780960456,22668.89569028942,19799.496875,16930.09805971058,1047.8691655049945,34.823387517630486,19799.496875,17266.69056640625,15393.688901367188,6.300602019716717,36.72476110083473,1.339540562275771,0.0676768459388759,40.767704349592684,0.04524106910844683,55.68927256863102,0.0475719224964124,63.919812873789446,0.012691053763530946,6920.T
2025-10-16,20872.75390625,21355.619904081206,20544.205907725674,21345.663904125926,10057700,46.76589004240956,903.1325040305674,976.15312328295,22543.074393424693,20001.105859375,17459.137325325304,1066.7144517287545,34.97691628057818,20001.105859375,17393.03220703125,15421.359711914063,4.357999267657697,35.34963385961589,0.991727143645973,-0.00827816781946944,47.78296537643887,0.058838437831232326,40.767704349592684,0.036588388126565397,55.68927256863102,-0.00214877669477359,6920.T
2025-10-17,20429.7109375,20992.224908245003,20230.59094785575,20618.874927662036,6442800,55.352291636656425,854.9918132866696,951.920861283694,22185.35970324462,20190.26982421875,18195.179945192882,991.3333005071693,34.652846260902976,20190.26982421875,17513.10154296875,15449.257758789063,1.185923295557112,32.2374916418076,0.6392516465482515,-0.021225899119010738,46.76589004240956,-0.029328355383453797,47.78296537643887,0.0363636399664955,40.767704349592684,0.05499018149233096,6920.T
2025-10-20,21639.365234375,21689.145232613726,20758.259265549517,20907.5992602657,8279700,59.4211666008901,904.0278905082669,942.3422671286086,21845.994217582363,20423.240234375,19000.486251167637,1024.401465416042,34.86094039720399,20423.240234375,17656.66705078125,15485.158037109375,5.9546134014185625,39.74261794756882,0.803269463982537,0.05921054392671832,55.352291636656425,0.03672784777553728,46.76589004240956,0.02814564066853409,47.78296537643887,0.026111176570991115,6920.T
2025-10-21,21246.103515625,21903.19950064433,21161.47751755433,21903.19950064433,8923100,56.149720901599785,900.7728521860627,934.0283841400994,21853.40088498002,20530.51611328125,19207.63134158248,1041.4688924187656,35.200335993778204,20530.51611328125,17797.74357421875,15517.895205078124,3.4854817988761333,36.91356485428745,0.9581893506119757,-0.018173440601912283,59.4211666008901,0.03996104402174683,55.352291636656425,0.017886935813640203,46.76589004240956,0.02544666981874005,6920.T
2025-10-22,21315.794921875,21395.442917846507,20469.53496467772,21211.256927162394,7660600,59.937488689153206,893.5168192164056,925.9260711553607,21886.830504193982,20541.21875,19195.606995806018,1058.5363200929191,34.49418397530351,20541.21875,17939.41744140625,15550.809853515624,3.770838436132218,37.07192823180245,0.9260006914241645,0.003280197058192158,56.149720901599785,-0.014952856010119753,59.4211666008901,0.04337232117898138,55.352291636656425,0.09632875652539469,6920.T
2025-10-23,20827.951171875,20827.951171875,20265.43719424071,20509.359184542303,6515600,53.52200398066385,838.733054704946,908.4874678652777,21799.633008978344,20511.35068359375,19223.06835820916,1037.913086308384,33.556450740711554,20511.35068359375,18068.148515625,15581.700502929687,1.5435379813114158,33.66930758269233,0.8613550915080721,-0.022886491063927372,59.937488689153206,-0.01968136620639538,56.149720901599785,-0.03749712866859123,59.4211666008901,0.3118265937677261,6920.T
2025-10-24,21584.607421875,21584.607421875,21206.27943200819,21400.42142680826,5592100,59.98803235477966,846.6131331679971,896.1126009258217,21831.154393711793,20518.81767578125,19206.48095785071,1056.4028200966236,33.3132916426619,20518.81767578125,18191.50333984375,15616.10576171875,5.194206425215819,38.22016673828763,0.7562799051150764,0.03632888534047218,53.52200398066385,0.012610953566837724,59.937488689153206,0.015932517037820837,56.149720901599785,0.270351049393262,6920.T
2025-10-27,22211.8359375,22211.8359375,21624.431939152844,21848.441938522523,6114400,55.724677063303176,893.1742940858458,895.5249395578265,22094.590037417776,20647.25009765625,19199.910157894727,981.3771778741504,33.54002168312572,20647.25009765625,18321.32958984375,15652.096572265626,7.57769597618887,41.90965302921625,0.8783593539007867,0.029059065257278416,59.98803235477966,0.06644363404758358,53.52200398066385,0.04203648134677129,59.937488689153206,0.3215051617714322,6920.T
2025-10-28,21793.68359375,22301.43958428506,21495.00359931761,22301.43958428506,6006100,61.01448912748586,886.118329558969,893.6436175580551,22241.914369785485,20731.12939453125,19220.344419277015,903.1514685843142,33.621751989261945,20731.12939453125,18437.217421875,15686.316586914063,5.1254043086482515,38.93436023043717,0.9417256215348335,-0.01882565425598326,55.724677063303176,0.009686355085759546,59.98803235477966,0.04636713490950939,53.52200398066385,0.2687744623498368,6920.T
2025-10-29,23471.26953125,23705.235526577413,22211.83555640244,22226.769556104187,12823000,71.49786764644702,1004.3164568719949,915.7781854208431,22816.32322285611,20893.9099609375,18971.49669901889,994.1777513549195,34.562821534693725,20893.9099609375,18560.074453125,15729.8351953125,12.335458394963105,49.2149742181943,1.7304432784903052,0.0769757865981453,61.01448912748586,0.056701012797582884,55.724677063303176,0.08740775648589993,59.98803235477966,0.23079186604891905,6920.T
